,Unnamed: 0,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
249,249, Boyhood ,10,2014,Richard Linklater,Luke Buckmaster,The Guardian/BBC Culture,Australia
250,250, The White Ribbon ,1,2009,Michael Haneke,Luciano Castillo,Cinemateca de Cuba,Cuba
251,251, In the Mood for Love ,2,2000,Wong Kar-wai,Luciano Castillo,Cinemateca de Cuba,Cuba
252,252," Spring, Summer, Fall, Winter…and Spring ",3,2003,Kim Ki-duk,Luciano Castillo,Cinemateca de Cuba,Cuba
253,253, Melancholia ,4,2011,Lars von Trier,Luciano Castillo,Cinemateca de Cuba,Cuba
254,254, Elephant ,5,2003,Gus Van Sant,Luciano Castillo,Cinemateca de Cuba,Cuba
255,255, Russian Ark ,6,2002,Aleksandr Sokurov,Luciano Castillo,Cinemateca de Cuba,Cuba
256,256, City of God ,7,2002,Fernando Meirelles and Kátia Lund,Luciano Castillo,Cinemateca de Cuba,Cuba
257,257, A Prophet ,8,2009,Jacques Audiard,Luciano Castillo,Cinemateca de Cuba,Cuba
258,258," 4 Months, 3 Weeks & 2 Days ",9,2007,Cristian Mungiu,Luciano Castillo,Cinemateca de Cuba,Cuba
259,259, Inside Out ,10,2015,Pete Docter,Luciano Castillo,Cinemateca de Cuba,Cuba
260,260, Inside Llewyn Davis ,1,2013,Joel and Ethan Coen,Monica Castillo,New York Times Watching,US
261,261, Persepolis ,2,2007,Vincent Paronnaud and Marjane Satrapi,Monica Castillo,New York Times Watching,US
262,262, Fish Tank ,3,2009,Andrea Arnold,Monica Castillo,New York Times Watching,US
263,263, Pan's Labyrinth ,4,2006,Guillermo Del Toro,Monica Castillo,New York Times Watching,US
264,264, In the Mood for Love ,5,2000,Wong Kar-wai,Monica Castillo,New York Times Watching,US
265,265, Spirited Away ,6,2001,Hayao Miyazaki,Monica Castillo,New York Times Watching,US
266,266, Mad Max: Fury Road ,7,2015,George Miller,Monica Castillo,New York Times Watching,US
267,267, Attack the Block ,8,2011,Joe Cornish,Monica Castillo,New York Times Watching,US
268,268, Eternal Sunshine of the Spotless Mind ,9,2004,Michel Gondry,Monica Castillo,New York Times Watching,US
269,269, The Royal Tenenbaums ,10,2001,Wes Anderson,Monica Castillo,New York Times Watching,US
270,270, The Secret in Their Eyes ,1,2009,Juan José Campanella,Samuel Castro,El Colombiano,Colombia
271,271, Before Sunset ,2,2004,Richard Linklater,Samuel Castro,El Colombiano,Colombia
272,272, Eternal Sunshine of the Spotless Mind ,3,2004,Michel Gondry,Samuel Castro,El Colombiano,Colombia
273,273, Ratatouille ,4,2007,Brad Bird and Jan Pinkava,Samuel Castro,El Colombiano,Colombia
274,274, Stories We Tell ,5,2012,Sarah Polley,Samuel Castro,El Colombiano,Colombia
